# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Construct.appendAtEnd
# Parameters: (size = 1)

# Run progress: 0,00% complete, ETA 23:36:40
# Fork: 1 of 5
# Warmup Iteration   1: 0,016 us/op
# Warmup Iteration   2: 0,016 us/op
# Warmup Iteration   3: 0,016 us/op
# Warmup Iteration   4: 0,016 us/op
# Warmup Iteration   5: 0,016 us/op
Iteration   3: 0,012 us/op
Iteration   4: 0,012 us/op
Iteration   5: 0,012 us/op

# Run progress: 14,94% complete, ETA 20:09:58
# Fork: 3 of 5
# Warmup Iteration   1: 0,011 us/op
# Warmup Iteration   2: 0,011 us/op
# Warmup Iteration   3: 0,010 us/op
# Warmup Iteration   4: 0,010 us/op
# Warmup Iteration   5: 0,010 us/op
Iteration   1: 0,010 us/op
Iteration   2: 0,010 us/op
Iteration   3: 0,010 us/op
Iteration   4: 0,010 us/op
Iteration   5: 0,010 us/op

# Run progress: 15,06% complete, ETA 20:08:18
# Fork: 4 of 5
# Warmup Iteration   1: 0,011 us/op
# Warmup Iteration   2: 0,011 us/op
# Warmup Iteration   3: 0,010 us/op
# Warmup Iteration   4: 0,010 us/op
# Warmup Iteration   5: 0,010 us/op
Iteration   1: 0,010 us/op
Iteration   2: 0,010 us/op
Iteration   3: 0,010 us/op
Iteration   4: 0,010 us/op
Iteration   5: 0,010 us/op

# Run progress: 15,18% complete, ETA 20:06:38
# Fork: 5 of 5
# Warmup Iteration   1: 0,012 us/op
# Warmup Iteration   2: 0,011 us/op
# Warmup Iteration   3: 0,011 us/op
# Warmup Iteration   4: 0,011 us/op
# Warmup Iteration   5: 0,011 us/op
Iteration   1: 0,011 us/op
Iteration   2: 0,011 us/op
Iteration   3: 0,011 us/op
Iteration   4: 0,011 us/op
Iteration   5: 0,011 us/op


Result "de.codecentric.fpl.list.Consume.consumeFromEnd":
  0,011 ±(99.9%) 0,001 us/op [Average]
  (min, avg, max) = (0,010, 0,011, 0,012), stdev = 0,001
  CI (99.9%): [0,010, 0,011] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Consume.consumeFromEnd
# Parameters: (size = 10)

# Run progress: 15,29% complete, ETA 20:04:57
# Fork: 1 of 5
# Warmup Iteration   1: 0,315 us/op
# Warmup Iteration   2: 0,310 us/op
# Warmup Iteration   3: 0,309 us/op
# Warmup Iteration   4: 0,309 us/op
# Warmup Iteration   5: 0,310 us/op
Iteration   1: 0,309 us/op
Iteration   2: 0,309 us/op
Iteration   3: 0,309 us/op
Iteration   4: 0,309 us/op
Iteration   5: 0,309 us/op

# Run progress: 15,41% complete, ETA 20:03:17
# Fork: 2 of 5
# Warmup Iteration   1: 0,317 us/op
# Warmup Iteration   2: 0,313 us/op
# Warmup Iteration   3: 0,311 us/op
# Warmup Iteration   4: 0,311 us/op
# Warmup Iteration   5: 0,312 us/op
Iteration   1: 0,312 us/op
Iteration   2: 0,311 us/op
Iteration   3: 0,312 us/op
Iteration   4: 0,311 us/op
Iteration   5: 0,311 us/op

# Run progress: 15,53% complete, ETA 20:01:36
# Fork: 3 of 5
# Warmup Iteration   1: 0,315 us/op
# Warmup Iteration   2: 0,311 us/op
# Warmup Iteration   3: 0,311 us/op
# Warmup Iteration   4: 0,311 us/op
# Warmup Iteration   5: 0,311 us/op
Iteration   1: 0,310 us/op
Iteration   2: 0,310 us/op
Iteration   3: 0,310 us/op
Iteration   4: 0,310 us/op
Iteration   5: 0,311 us/op

# Run progress: 15,65% complete, ETA 19:59:56
# Fork: 4 of 5
# Warmup Iteration   1: 0,325 us/op
# Warmup Iteration   2: 0,310 us/op
# Warmup Iteration   3: 0,319 us/op
# Warmup Iteration   4: 0,319 us/op
# Warmup Iteration   5: 0,320 us/op
Iteration   1: 0,320 us/op
Iteration   2: 0,319 us/op
Iteration   3: 0,319 us/op
Iteration   4: 0,319 us/op
Iteration   5: 0,319 us/op

# Run progress: 15,76% complete, ETA 19:58:15
# Fork: 5 of 5
# Warmup Iteration   1: 0,316 us/op
# Warmup Iteration   2: 0,312 us/op
# Warmup Iteration   3: 0,311 us/op
# Warmup Iteration   4: 0,311 us/op
# Warmup Iteration   5: 0,311 us/op
Iteration   1: 0,311 us/op
Iteration   2: 0,312 us/op
Iteration   3: 0,312 us/op
Iteration   4: 0,311 us/op
Iteration   5: 0,311 us/op


Result "de.codecentric.fpl.list.Consume.consumeFromEnd":
  0,312 ±(99.9%) 0,003 us/op [Average]
  (min, avg, max) = (0,309, 0,312, 0,320), stdev = 0,004
  CI (99.9%): [0,309, 0,315] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Consume.consumeFromEnd
# Parameters: (size = 100)

# Run progress: 15,88% complete, ETA 19:56:35
# Fork: 1 of 5
# Warmup Iteration   1: 3,653 us/op
# Warmup Iteration   2: 3,564 us/op
# Warmup Iteration   3: 3,565 us/op
# Warmup Iteration   4: 3,572 us/op
# Warmup Iteration   5: 3,560 us/op
Iteration   1: 3,565 us/op
Iteration   2: 3,566 us/op
Iteration   3: 3,561 us/op
Iteration   4: 3,563 us/op
Iteration   5: 3,571 us/op

# Run progress: 16,00% complete, ETA 19:54:55
# Fork: 2 of 5
# Warmup Iteration   1: 4,618 us/op
# Warmup Iteration   2: 4,514 us/op
# Warmup Iteration   3: 4,510 us/op
# Warmup Iteration   4: 4,523 us/op
# Warmup Iteration   5: 4,518 us/op
Iteration   1: 4,514 us/op
Iteration   2: 4,523 us/op
Iteration   3: 4,522 us/op
Iteration   4: 4,519 us/op
Iteration   5: 4,515 us/op

# Run progress: 16,12% complete, ETA 19:53:14
# Fork: 3 of 5
# Warmup Iteration   1: 3,641 us/op
# Warmup Iteration   2: 3,569 us/op
# Warmup Iteration   3: 3,568 us/op
# Warmup Iteration   4: 3,560 us/op
# Warmup Iteration   5: 3,552 us/op
Iteration   1: 3,556 us/op
Iteration   2: 3,556 us/op
Iteration   3: 3,552 us/op
Iteration   4: 3,556 us/op
Iteration   5: 3,553 us/op

# Run progress: 16,24% complete, ETA 19:51:34
# Fork: 4 of 5
# Warmup Iteration   1: 3,660 us/op
# Warmup Iteration   2: 3,608 us/op
# Warmup Iteration   3: 3,572 us/op
# Warmup Iteration   4: 3,579 us/op
# Warmup Iteration   5: 3,573 us/op
Iteration   1: 3,571 us/op
Iteration   2: 3,574 us/op
Iteration   3: 3,575 us/op
Iteration   4: 3,570 us/op
Iteration   5: 3,574 us/op

# Run progress: 16,35% complete, ETA 19:49:53
# Fork: 5 of 5
# Warmup Iteration   1: 3,696 us/op
# Warmup Iteration   2: 3,635 us/op
# Warmup Iteration   3: 3,611 us/op
# Warmup Iteration   4: 3,608 us/op
# Warmup Iteration   5: 3,608 us/op
Iteration   1: 3,618 us/op
Iteration   2: 3,612 us/op
Iteration   3: 3,611 us/op
Iteration   4: 3,608 us/op
Iteration   5: 3,618 us/op


Result "de.codecentric.fpl.list.Consume.consumeFromEnd":
  3,765 ±(99.9%) 0,289 us/op [Average]
  (min, avg, max) = (3,552, 3,765, 4,523), stdev = 0,385
  CI (99.9%): [3,476, 4,053] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Consume.consumeFromEnd
# Parameters: (size = 1000)

# Run progress: 16,47% complete, ETA 19:48:13
# Fork: 1 of 5
# Warmup Iteration   1: 39,709 us/op
# Warmup Iteration   2: 39,310 us/op
# Warmup Iteration   3: 39,106 us/op
# Warmup Iteration   4: 39,102 us/op
# Warmup Iteration   5: 39,128 us/op
Iteration   1: 39,133 us/op
Iteration   2: 39,221 us/op
Iteration   3: 39,220 us/op
Iteration   4: 39,123 us/op
Iteration   5: 39,103 us/op

# Run progress: 16,59% complete, ETA 19:46:32
# Fork: 2 of 5
# Warmup Iteration   1: 39,871 us/op
# Warmup Iteration   2: 39,155 us/op
# Warmup Iteration   3: 38,846 us/op
# Warmup Iteration   4: 38,851 us/op
# Warmup Iteration   5: 38,885 us/op
Iteration   1: 38,907 us/op
Iteration   2: 38,851 us/op
Iteration   3: 38,841 us/op
Iteration   4: 38,854 us/op
Iteration   5: 38,938 us/op

# Run progress: 16,71% complete, ETA 19:44:52
# Fork: 3 of 5
# Warmup Iteration   1: 39,872 us/op
# Warmup Iteration   2: 39,327 us/op
# Warmup Iteration   3: 38,809 us/op
# Warmup Iteration   4: 38,849 us/op
# Warmup Iteration   5: 38,780 us/op
Iteration   1: 38,768 us/op
Iteration   2: 38,690 us/op
Iteration   3: 38,729 us/op
Iteration   4: 38,768 us/op
Iteration   5: 38,794 us/op

# Run progress: 16,82% complete, ETA 19:43:11
# Fork: 4 of 5
# Warmup Iteration   1: 39,781 us/op
# Warmup Iteration   2: 39,125 us/op
# Warmup Iteration   3: 38,782 us/op
# Warmup Iteration   4: 38,787 us/op
# Warmup Iteration   5: 38,786 us/op
Iteration   1: 38,767 us/op
Iteration   2: 38,765 us/op
Iteration   3: 38,832 us/op
Iteration   4: 38,797 us/op
Iteration   5: 38,825 us/op

# Run progress: 16,94% complete, ETA 19:41:31
# Fork: 5 of 5
# Warmup Iteration   1: 40,023 us/op
# Warmup Iteration   2: 39,200 us/op
# Warmup Iteration   3: 38,813 us/op
# Warmup Iteration   4: 38,993 us/op
# Warmup Iteration   5: 38,825 us/op
Iteration   1: 38,856 us/op
Iteration   2: 38,824 us/op
Iteration   3: 38,840 us/op
Iteration   4: 38,867 us/op
Iteration   5: 38,855 us/op


Result "de.codecentric.fpl.list.Consume.consumeFromEnd":
  38,887 ±(99.9%) 0,113 us/op [Average]
  (min, avg, max) = (38,690, 38,887, 39,221), stdev = 0,151
  CI (99.9%): [38,774, 39,000] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Consume.consumeFromEnd
# Parameters: (size = 10000)

# Run progress: 17,06% complete, ETA 19:39:50
# Fork: 1 of 5
# Warmup Iteration   1: 417,240 us/op
# Warmup Iteration   2: 409,467 us/op
# Warmup Iteration   3: 408,846 us/op
# Warmup Iteration   4: 409,425 us/op
# Warmup Iteration   5: 412,531 us/op
Iteration   1: 411,215 us/op
Iteration   2: 410,718 us/op
Iteration   3: 411,845 us/op
Iteration   4: 411,098 us/op
Iteration   5: 411,083 us/op

# Run progress: 17,18% complete, ETA 19:38:10
# Fork: 2 of 5
# Warmup Iteration   1: 418,047 us/op
# Warmup Iteration   2: 410,099 us/op
# Warmup Iteration   3: 409,528 us/op
# Warmup Iteration   4: 409,021 us/op
# Warmup Iteration   5: 411,545 us/op
Iteration   1: 410,746 us/op
Iteration   2: 411,039 us/op
Iteration   3: 410,851 us/op
Iteration   4: 410,778 us/op
Iteration   5: 411,474 us/op

# Run progress: 17,29% complete, ETA 19:36:30
# Fork: 3 of 5
# Warmup Iteration   1: 417,591 us/op
# Warmup Iteration   2: 408,765 us/op
# Warmup Iteration   3: 409,480 us/op
# Warmup Iteration   4: 408,865 us/op
# Warmup Iteration   5: 411,744 us/op
Iteration   1: 411,167 us/op
Iteration   2: 410,649 us/op
Iteration   3: 411,058 us/op
Iteration   4: 411,278 us/op
Iteration   5: 411,855 us/op

# Run progress: 17,41% complete, ETA 19:34:49
# Fork: 4 of 5
# Warmup Iteration   1: 418,137 us/op
# Warmup Iteration   2: 409,725 us/op
# Warmup Iteration   3: 408,941 us/op
# Warmup Iteration   4: 408,652 us/op
# Warmup Iteration   5: 411,426 us/op
Iteration   1: 411,514 us/op
Iteration   2: 412,168 us/op
Iteration   3: 410,679 us/op
Iteration   4: 411,326 us/op
Iteration   5: 411,191 us/op

# Run progress: 17,53% complete, ETA 19:33:09
# Fork: 5 of 5
# Warmup Iteration   1: 420,372 us/op
# Warmup Iteration   2: 413,553 us/op
# Warmup Iteration   3: 411,897 us/op
# Warmup Iteration   4: 413,133 us/op
# Warmup Iteration   5: 414,830 us/op
Iteration   1: 413,111 us/op
Iteration   2: 412,919 us/op
Iteration   3: 414,387 us/op
Iteration   4: 412,767 us/op
Iteration   5: 413,618 us/op


Result "de.codecentric.fpl.list.Consume.consumeFromEnd":
  411,621 ±(99.9%) 0,749 us/op [Average]
  (min, avg, max) = (410,649, 411,621, 414,387), stdev = 1,000
  CI (99.9%): [410,872, 412,370] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Consume.consumeFromStart
# Parameters: (size = 1)

# Run progress: 17,65% complete, ETA 19:31:28
# Fork: 1 of 5
# Warmup Iteration   1: 0,009 us/op
# Warmup Iteration   2: 0,009 us/op
# Warmup Iteration   3: 0,008 us/op
# Warmup Iteration   4: 0,008 us/op
# Warmup Iteration   5: 0,008 us/op
Iteration   1: 0,008 us/op
Iteration   2: 0,008 us/op
Iteration   3: 0,008 us/op
Iteration   4: 0,008 us/op
Iteration   5: 0,008 us/op

# Run progress: 17,76% complete, ETA 19:29:48
# Fork: 2 of 5
# Warmup Iteration   1: 0,009 us/op
# Warmup Iteration   2: 0,009 us/op
# Warmup Iteration   3: 0,008 us/op
# Warmup Iteration   4: 0,008 us/op
# Warmup Iteration   5: 0,008 us/op
Iteration   1: 0,008 us/op
Iteration   2: 0,008 us/op
Iteration   3: 0,008 us/op
Iteration   4: 0,008 us/op
Iteration   5: 0,008 us/op

# Run progress: 17,88% complete, ETA 19:28:08
# Fork: 3 of 5
# Warmup Iteration   1: 0,009 us/op
# Warmup Iteration   2: 0,009 us/op
# Warmup Iteration   3: 0,008 us/op
# Warmup Iteration   4: 0,008 us/op
# Warmup Iteration   5: 0,008 us/op
Iteration   1: 0,008 us/op
Iteration   2: 0,008 us/op
Iteration   3: 0,008 us/op
Iteration   4: 0,008 us/op
Iteration   5: 0,008 us/op

# Run progress: 18,00% complete, ETA 19:26:27
# Fork: 4 of 5
# Warmup Iteration   1: 0,009 us/op
# Warmup Iteration   2: 0,009 us/op
# Warmup Iteration   3: 0,008 us/op
# Warmup Iteration   4: 0,008 us/op
# Warmup Iteration   5: 0,008 us/op
Iteration   1: 0,008 us/op
Iteration   2: 0,008 us/op
Iteration   3: 0,008 us/op
Iteration   4: 0,008 us/op
Iteration   5: 0,008 us/op

# Run progress: 18,12% complete, ETA 19:24:47
# Fork: 5 of 5
# Warmup Iteration   1: 0,009 us/op
# Warmup Iteration   2: 0,009 us/op
# Warmup Iteration   3: 0,008 us/op
# Warmup Iteration   4: 0,008 us/op
# Warmup Iteration   5: 0,008 us/op
Iteration   1: 0,008 us/op
Iteration   2: 0,008 us/op
Iteration   3: 0,008 us/op
Iteration   4: 0,008 us/op
Iteration   5: 0,008 us/op


Result "de.codecentric.fpl.list.Consume.consumeFromStart":
  0,008 ±(99.9%) 0,001 us/op [Average]
  (min, avg, max) = (0,008, 0,008, 0,008), stdev = 0,001
  CI (99.9%): [0,008, 0,008] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Consume.consumeFromStart
# Parameters: (size = 10)

# Run progress: 18,24% complete, ETA 19:23:06
# Fork: 1 of 5
# Warmup Iteration   1: 0,286 us/op
# Warmup Iteration   2: 0,282 us/op
# Warmup Iteration   3: 0,281 us/op
# Warmup Iteration   4: 0,281 us/op
# Warmup Iteration   5: 0,282 us/op
Iteration   1: 0,281 us/op
Iteration   2: 0,282 us/op
Iteration   3: 0,282 us/op
Iteration   4: 0,281 us/op
Iteration   5: 0,282 us/op

# Run progress: 18,35% complete, ETA 19:21:26
# Fork: 2 of 5
# Warmup Iteration   1: 0,297 us/op
# Warmup Iteration   2: 0,290 us/op
# Warmup Iteration   3: 0,289 us/op
# Warmup Iteration   4: 0,289 us/op
# Warmup Iteration   5: 0,288 us/op
Iteration   1: 0,289 us/op
Iteration   2: 0,288 us/op
Iteration   3: 0,288 us/op
Iteration   4: 0,288 us/op
Iteration   5: 0,288 us/op

# Run progress: 18,47% complete, ETA 19:19:45
# Fork: 3 of 5
# Warmup Iteration   1: 0,294 us/op
# Warmup Iteration   2: 0,289 us/op
# Warmup Iteration   3: 0,288 us/op
# Warmup Iteration   4: 0,287 us/op
# Warmup Iteration   5: 0,288 us/op
Iteration   1: 0,288 us/op
Iteration   2: 0,288 us/op
Iteration   3: 0,288 us/op
Iteration   4: 0,288 us/op
Iteration   5: 0,288 us/op

# Run progress: 18,59% complete, ETA 19:18:05
# Fork: 4 of 5
# Warmup Iteration   1: 0,294 us/op
# Warmup Iteration   2: 0,288 us/op
# Warmup Iteration   3: 0,288 us/op
# Warmup Iteration   4: 0,287 us/op
# Warmup Iteration   5: 0,288 us/op
Iteration   1: 0,288 us/op
Iteration   2: 0,289 us/op
Iteration   3: 0,288 us/op
Iteration   4: 0,287 us/op
Iteration   5: 0,287 us/op

# Run progress: 18,71% complete, ETA 19:16:25
# Fork: 5 of 5
# Warmup Iteration   1: 0,293 us/op
# Warmup Iteration   2: 0,288 us/op
# Warmup Iteration   3: 0,287 us/op
# Warmup Iteration   4: 0,287 us/op
# Warmup Iteration   5: 0,287 us/op
Iteration   1: 0,286 us/op
Iteration   2: 0,287 us/op
Iteration   3: 0,287 us/op
Iteration   4: 0,287 us/op
Iteration   5: 0,287 us/op


Result "de.codecentric.fpl.list.Consume.consumeFromStart":
  0,286 ±(99.9%) 0,002 us/op [Average]
  (min, avg, max) = (0,281, 0,286, 0,289), stdev = 0,003
  CI (99.9%): [0,285, 0,288] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Consume.consumeFromStart
# Parameters: (size = 100)

# Run progress: 18,82% complete, ETA 19:14:44
# Fork: 1 of 5
# Warmup Iteration   1: 3,407 us/op
# Warmup Iteration   2: 3,339 us/op
# Warmup Iteration   3: 3,331 us/op
# Warmup Iteration   4: 3,333 us/op
# Warmup Iteration   5: 3,340 us/op
Iteration   1: 3,338 us/op
Iteration   2: 3,337 us/op
Iteration   3: 3,343 us/op
Iteration   4: 3,345 us/op
Iteration   5: 3,338 us/op

# Run progress: 18,94% complete, ETA 19:13:04
# Fork: 2 of 5
# Warmup Iteration   1: 3,406 us/op
# Warmup Iteration   2: 3,338 us/op
# Warmup Iteration   3: 3,333 us/op
# Warmup Iteration   4: 3,327 us/op
# Warmup Iteration   5: 3,328 us/op
Iteration   1: 3,329 us/op
Iteration   2: 3,330 us/op
Iteration   3: 3,328 us/op
Iteration   4: 3,325 us/op
Iteration   5: 3,323 us/op

# Run progress: 19,06% complete, ETA 19:11:23
# Fork: 3 of 5
# Warmup Iteration   1: 3,439 us/op
# Warmup Iteration   2: 3,365 us/op
# Warmup Iteration   3: 3,360 us/op
# Warmup Iteration   4: 3,361 us/op
# Warmup Iteration   5: 3,357 us/op
Iteration   1: 3,358 us/op
Iteration   2: 3,357 us/op
Iteration   3: 3,358 us/op
Iteration   4: 3,359 us/op
Iteration   5: 3,350 us/op

# Run progress: 19,18% complete, ETA 19:09:43
# Fork: 4 of 5
# Warmup Iteration   1: 3,412 us/op
# Warmup Iteration   2: 3,338 us/op
# Warmup Iteration   3: 3,326 us/op
# Warmup Iteration   4: 3,327 us/op
# Warmup Iteration   5: 3,328 us/op
Iteration   1: 3,324 us/op
Iteration   2: 3,329 us/op
Iteration   3: 3,323 us/op
Iteration   4: 3,328 us/op
Iteration   5: 3,324 us/op

# Run progress: 19,29% complete, ETA 19:08:02
# Fork: 5 of 5
# Warmup Iteration   1: 3,396 us/op
# Warmup Iteration   2: 3,333 us/op
# Warmup Iteration   3: 3,316 us/op
# Warmup Iteration   4: 3,321 us/op
# Warmup Iteration   5: 3,315 us/op
Iteration   1: 3,320 us/op
Iteration   2: 3,324 us/op
Iteration   3: 3,318 us/op
Iteration   4: 3,317 us/op
Iteration   5: 3,316 us/op


Result "de.codecentric.fpl.list.Consume.consumeFromStart":
  3,334 ±(99.9%) 0,010 us/op [Average]
  (min, avg, max) = (3,316, 3,334, 3,359), stdev = 0,014
  CI (99.9%): [3,323, 3,344] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Consume.consumeFromStart
# Parameters: (size = 1000)

# Run progress: 19,41% complete, ETA 19:06:22
# Fork: 1 of 5
# Warmup Iteration   1: 37,082 us/op
# Warmup Iteration   2: 36,490 us/op
# Warmup Iteration   3: 36,235 us/op
# Warmup Iteration   4: 36,187 us/op
# Warmup Iteration   5: 36,149 us/op
Iteration   1: 36,186 us/op
Iteration   2: 36,152 us/op
Iteration   3: 36,243 us/op
Iteration   4: 36,273 us/op
Iteration   5: 36,235 us/op

# Run progress: 19,53% complete, ETA 19:04:42
# Fork: 2 of 5
# Warmup Iteration   1: 37,277 us/op
# Warmup Iteration   2: 36,765 us/op
# Warmup Iteration   3: 36,321 us/op
# Warmup Iteration   4: 36,397 us/op
# Warmup Iteration   5: 36,315 us/op
Iteration   1: 36,302 us/op
Iteration   2: 36,330 us/op
Iteration   3: 36,247 us/op
Iteration   4: 36,300 us/op
Iteration   5: 36,287 us/op

# Run progress: 19,65% complete, ETA 19:03:01
# Fork: 3 of 5
# Warmup Iteration   1: 37,492 us/op
# Warmup Iteration   2: 36,705 us/op
# Warmup Iteration   3: 36,705 us/op
# Warmup Iteration   4: 36,714 us/op
# Warmup Iteration   5: 36,793 us/op
Iteration   1: 36,721 us/op
Iteration   2: 36,779 us/op
Iteration   3: 36,754 us/op
Iteration   4: 36,666 us/op
Iteration   5: 36,724 us/op

# Run progress: 19,76% complete, ETA 19:01:21
# Fork: 4 of 5
# Warmup Iteration   1: 37,141 us/op
# Warmup Iteration   2: 36,541 us/op
# Warmup Iteration   3: 36,227 us/op
# Warmup Iteration   4: 36,273 us/op
# Warmup Iteration   5: 36,322 us/op
Iteration   1: 36,190 us/op
Iteration   2: 36,243 us/op
Iteration   3: 36,176 us/op
Iteration   4: 36,233 us/op
Iteration   5: 36,262 us/op

# Run progress: 19,88% complete, ETA 18:59:40
# Fork: 5 of 5
# Warmup Iteration   1: 37,295 us/op
# Warmup Iteration   2: 36,725 us/op
# Warmup Iteration   3: 36,720 us/op
# Warmup Iteration   4: 36,756 us/op
# Warmup Iteration   5: 36,871 us/op
Iteration   1: 36,839 us/op
Iteration   2: 36,783 us/op
Iteration   3: 36,815 us/op
Iteration   4: 36,805 us/op
Iteration   5: 36,768 us/op


Result "de.codecentric.fpl.list.Consume.consumeFromStart":
  36,453 ±(99.9%) 0,199 us/op [Average]
  (min, avg, max) = (36,152, 36,453, 36,839), stdev = 0,266
  CI (99.9%): [36,254, 36,651] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Consume.consumeFromStart
# Parameters: (size = 10000)

# Run progress: 20,00% complete, ETA 18:58:00
# Fork: 1 of 5
# Warmup Iteration   1: 389,442 us/op
# Warmup Iteration   2: 379,020 us/op
# Warmup Iteration   3: 379,251 us/op
# Warmup Iteration   4: 380,129 us/op
# Warmup Iteration   5: 384,479 us/op
Iteration   1: 381,195 us/op
Iteration   2: 381,785 us/op
Iteration   3: 381,488 us/op
Iteration   4: 381,926 us/op
Iteration   5: 381,084 us/op

# Run progress: 20,12% complete, ETA 18:56:20
# Fork: 2 of 5
# Warmup Iteration   1: 395,809 us/op
# Warmup Iteration   2: 386,115 us/op
# Warmup Iteration   3: 385,770 us/op
# Warmup Iteration   4: 385,192 us/op
# Warmup Iteration   5: 391,800 us/op
Iteration   1: 387,204 us/op
Iteration   2: 386,280 us/op
Iteration   3: 386,537 us/op
Iteration   4: 386,557 us/op
Iteration   5: 386,955 us/op

# Run progress: 20,24% complete, ETA 18:54:39
# Fork: 3 of 5
